,MovieID,UserID,Rating,Date
699952,188,13,3,2005-05-14
95441,30,13,3,2005-08-16
3810917,725,13,3,2005-05-14
3196348,594,13,2,2003-12-06
13,1,13,3,2004-04-14
4857680,985,13,4,2003-03-31
2863976,528,13,4,2005-09-29
4945677,986,13,4,2004-05-18
2824911,514,13,3,2004-03-20
4411494,862,13,3,2003-05-31
718926,191,13,4,2004-03-03
2747996,486,13,4,2004-09-27
2371976,457,13,3,2005-04-28
3670196,708,13,3,2003-03-31
4289353,820,13,1,2005-12-11
3612568,694,13,3,2004-04-10
1269932,283,13,4,2004-01-02
4778488,962,13,3,2003-05-09
704065,189,62,4,2002-08-18
2318738,443,62,4,2004-01-08
4865792,985,62,3,2002-01-05
4591306,894,62,4,2002-01-27
3676826,708,62,4,2002-01-05
4755930,953,62,4,2002-10-22
32679,18,62,4,2002-10-18
902332,199,62,4,2002-08-16
4059768,788,62,4,2002-06-29
3631265,705,62,4,2002-10-18
2506132,468,62,3,2005-11-08
3829184,734,62,4,2005-10-28
1099525,253,62,4,2005-10-28
682101,187,62,4,2002-11-03
826524,197,62,2,2005-10-28
2382888,457,62,4,2005-10-28
2180795,413,62,2,2003-05-07
543912,165,62,4,2005-11-17
3227149,607,62,3,2002-06-29
4373000,851,62,4,2005-11-05
1769131,331,62,4,2003-03-13
3421742,658,62,3,2004-09-04
1024214,241,62,5,2002-01-05
62,1,62,4,2005-10-29
2351987,445,62,4,2005-10-30
727875,191,62,4,2004-01-08
3765676,720,62,4,2005-10-28
4155123,798,62,5,2002-01-05
1678004,329,62,5,2002-01-05
3031149,571,62,5,2002-01-05
4803491,963,62,4,2002-08-29
3687581,708,141,2,2003-10-26
2679640,483,141,4,2003-05-28
2353080,445,141,4,2004-02-22
34257,18,141,5,2003-05-01
3745347,711,141,3,2004-04-15
3524510,674,141,3,2004-06-10
4244797,811,141,4,2005-10-01
2324096,443,141,4,2004-09-18
2487856,459,141,3,2004-05-13
1589345,313,141,4,2003-10-21
838288,197,141,3,2004-12-18
2599559,481,141,3,2004-02-15
3612772,694,141,5,2004-06-11
